28030;22900;22675;27980;28740;26155;24775;22675;24230;26865
27550;23250;22855;28040;28630;25675;25125;22855;24290;26755
20650;21430;30040;29180;29025;24400;23305;24415;25430;27150
27380;22540;22855;28750;28800;25505;24415;22855;25000;26925
27490;22480;22675;28400;29280;25615;24355;22675;24650;27405
23955;28325;27850;22405;22165;25830;26450;27850;26155;24040
23475;28675;28030;22465;22055;25350;26800;28030;26215;23930
29775;29555;22165;21805;21400;26025;27680;27790;25555;23275
23305;27965;28030;23175;22225;25180;26090;28030;26925;24100
23415;27905;27850;22825;22705;25290;26030;27850;26575;24580
